                          name                          |                                     setting                                      
 gp_cached_segworkers_threshold                         | 5
 gp_command_count                                       | 2
 gp_connection_send_timeout                             | 3600
 gp_contentid                                           | -1
 gp_create_table_random_default_distribution            | off
 gp_dbid                                                | 1
 gp_debug_linger                                        | 120
 gp_default_storage_options                             | appendonly=false,blocksize=32768,compresstype=none,checksum=true,orientation=row
 gp_dispatch_keepalives_count                           | 0
 gp_dispatch_keepalives_idle                            | 0
 gp_dispatch_keepalives_interval                        | 0
 gp_dtx_recovery_interval                               | 60
 gp_dtx_recovery_prepared_period                        | 120
 gp_dynamic_partition_pruning                           | on
 gp_enable_agg_distinct                                 | on
 gp_enable_agg_distinct_pruning                         | on
 gp_enable_direct_dispatch                              | on
 gp_enable_exchange_default_partition                   | off
 gp_enable_fast_sri                                     | on
 gp_enable_global_deadlock_detector                     | off
 gp_enable_gpperfmon                                    | off
 gp_enable_groupext_distinct_gather                     | on
 gp_enable_groupext_distinct_pruning                    | on
 gp_enable_minmax_optimization                          | on
 gp_enable_multiphase_agg                               | on
 gp_enable_predicate_propagation                        | on
 gp_enable_preunique                                    | on
 gp_enable_query_metrics                                | off
 gp_enable_relsize_collection                           | off
 gp_enable_sort_distinct                                | on
 gp_enable_sort_limit                                   | on
 gp_external_enable_exec                                | on
 gp_external_enable_filter_pushdown                     | on
 gp_external_max_segs                                   | 64
 gp_fts_mark_mirror_down_grace_period                   | 30
 gp_fts_probe_interval                                  | 60
 gp_fts_probe_retries                                   | 5
 gp_fts_probe_timeout                                   | 20
 gp_fts_replication_attempt_count                       | 10
 gp_global_deadlock_detector_period                     | 120
 gp_gpperfmon_send_interval                             | 1
 gp_hashjoin_tuples_per_bucket                          | 5
 gp_initial_bad_row_limit                               | 1000
 gp_instrument_shmem_size                               | 5120
 gp_interconnect_address_type                           | wildcard
 gp_interconnect_cache_future_packets                   | on
 gp_interconnect_debug_retry_interval                   | 10
 gp_interconnect_default_rtt                            | 20
 gp_interconnect_fc_method                              | loss
 gp_interconnect_min_retries_before_timeout             | 100
 gp_interconnect_min_rto                                | 20
 gp_interconnect_queue_depth                            | 4
 gp_interconnect_setup_timeout                          | 7200
 gp_interconnect_snd_queue_depth                        | 2
 gp_interconnect_tcp_listener_backlog                   | 128
 gp_interconnect_timer_checking_period                  | 20
 gp_interconnect_timer_period                           | 5
 gp_interconnect_transmit_timeout                       | 3600
 gp_interconnect_type                                   | udpifc
 gp_log_format                                          | csv
 gp_log_resqueue_priority_sleep_time                    | off
 gp_log_suboverflow_statement                           | off
 gp_max_local_distributed_cache                         | 1024
 gp_max_packet_size                                     | 8192
 gp_max_partition_level                                 | 0
 gp_max_plan_size                                       | 0
 gp_max_slices                                          | 0
 gp_motion_cost_per_row                                 | 0
 gp_print_create_gang_time                              | off
 gp_reject_percent_threshold                            | 300
 gp_reraise_signal                                      | on
 gp_resgroup_memory_policy                              | eager_free
 gp_resource_group_bypass                               | off
 gp_resource_group_cpu_ceiling_enforcement              | off
 gp_resource_group_cpu_limit                            | 0.9
 gp_resource_group_cpu_priority                         | 10
 gp_resource_group_enable_recalculate_query_mem         | off
 gp_resource_group_memory_limit                         | 0.7
 gp_resource_group_queuing_timeout                      | 0
 gp_resource_manager                                    | queue
 gp_resqueue_memory_policy                              | eager_free
 gp_resqueue_priority                                   | on
 gp_resqueue_priority_cpucores_per_segment              | 4
 gp_resqueue_priority_sweeper_interval                  | 1000
 gp_role                                                | dispatch
 gp_safefswritesize                                     | 0
 gp_segment_connect_timeout                             | 600
 gp_segments_for_planner                                | 0
 gp_server_version                                      | 6.23.0 build dev
 gp_server_version_num                                  | 60000
 gp_session_id                                          | 1395
 gp_set_proc_affinity                                   | off
 gp_statistics_pullup_from_child_partition              | on
 gp_statistics_use_fkeys                                | on
 gp_subtrans_warn_limit                                 | 16777216
 gp_udp_bufsize_k                                       | 0
 gp_vmem_idle_resource_timeout                          | 600000
 gp_vmem_protect_limit                                  | 8192
 gp_vmem_protect_segworker_cache_limit                  | 500
 gp_workfile_compression                                | off
 gp_workfile_limit_files_per_query                      | 100000
 gp_workfile_limit_per_query                            | 0
 gp_workfile_limit_per_segment                          | 0
 gpfdist_retry_timeout                                  | 300
 gpperfmon_log_alert_level                              | none
 gpperfmon_port                                         | 8888
 ignore_checksum_failure                                | off
 integer_datetimes                                      | on
 IntervalStyle                                          | postgres
 join_collapse_limit                                    | 20
 krb_caseins_users                                      | off
 krb_server_keyfile                                     | FILE:/usr/local/gpdb/etc/postgresql/krb5.keytab
 lc_collate                                             | en_US.utf8
 lc_ctype                                               | en_US.utf8
 lc_messages                                            | en_US.utf8
 lc_monetary                                            | en_US.utf8
 lc_numeric                                             | en_US.utf8
 lc_time                                                | en_US.utf8
 listen_addresses                                       | *
 local_preload_libraries                                | 
 lock_timeout                                           | 0
 log_autostats                                          | off
 log_autovacuum_min_duration                            | -1
 log_checkpoints                                        | off
 log_connections                                        | off
 log_disconnections                                     | off
 log_dispatch_stats                                     | off
 log_duration                                           | off
 log_error_verbosity                                    | default
 log_executor_stats                                     | off
 log_hostname                                           | off
 log_lock_waits                                         | off
 log_min_duration_statement                             | -1
 log_min_error_statement                                | error
 log_min_messages                                       | warning
 log_parser_stats                                       | off
 log_planner_stats                                      | off
 log_rotation_age                                       | 1440
 log_rotation_size                                      | 1048576
 log_statement                                          | all
 log_statement_stats                                    | off
 log_temp_files                                         | -1
 log_timezone                                           | UTC
 log_truncate_on_rotation                               | off
 logging_collector                                      | on
 maintenance_work_mem                                   | 65536
 max_appendonly_tables                                  | 10000
 max_connections                                        | 150
 max_files_per_process                                  | 1000
 max_function_args                                      | 100
 max_identifier_length                                  | 63
 max_index_keys                                         | 32
 max_locks_per_transaction                              | 128
 max_pred_locks_per_transaction                         | 64
 max_prepared_transactions                              | 250
 max_resource_portals_per_transaction                   | 64
 max_resource_queues                                    | 9
 max_slot_wal_keep_size                                 | -1
 max_stack_depth                                        | 2048
 max_statement_mem                                      | 2048000
 max_worker_processes                                   | 14
 memory_spill_ratio                                     | 20
 optimizer                                              | on
 optimizer_analyze_root_partition                       | on
 optimizer_control                                      | on
 optimizer_enable_associativity                         | off
 optimizer_enable_orderedagg                            | off
 optimizer_enable_redistribute_nestloop_loj_inner_child | on
 optimizer_enable_replicated_table                      | on
 optimizer_join_arity_for_associativity_commutativity   | 18
 optimizer_join_order                                   | exhaustive
 optimizer_join_order_threshold                         | 10
 optimizer_mdcache_size                                 | 16384
 optimizer_metadata_caching                             | on
 optimizer_minidump                                     | onerror
 optimizer_parallel_union                               | off
 password_encryption                                    | on
 password_hash_algorithm                                | MD5
 plan_cache_mode                                        | auto
 pljava_classpath                                       | 
 pljava_classpath_insecure                              | off
 pljava_release_lingering_savepoints                    | off
 pljava_statement_cache_size                            | 0
 pljava_vmoptions                                       | 
 port                                                   | 5432
 quote_all_identifiers                                  | off
 random_page_cost                                       | 100
 readable_external_table_timeout                        | 0
 repl_catchup_within_range                              | 1
 resource_cleanup_gangs_on_wait                         | on
 resource_scheduler                                     | on
 resource_select_only                                   | off
 runaway_detector_activation_percent                    | 90
 search_path                                            | "$user",public
 segment_size                                           | 32768
 seq_page_cost                                          | 1
 server_encoding                                        | UTF8
 server_version                                         | 9.4.26
 server_version_num                                     | 90426
 session_preload_libraries                              | 
 shared_buffers                                         | 4000
 shared_preload_libraries                               | 
 ssl                                                    | off
 ssl_ca_file                                            | 
 ssl_cert_file                                          | server.crt
 ssl_ciphers                                            | none
 ssl_crl_file                                           | 
 ssl_ecdh_curve                                         | none
 ssl_key_file                                           | server.key
 ssl_prefer_server_ciphers                              | on
 standard_conforming_strings                            | on
 statement_mem                                          | 128000
 statement_timeout                                      | 0
 stats_queue_level                                      | off
 superuser_reserved_connections                         | 10
 synchronize_seqscans                                   | on
 tcp_keepalives_count                                   | 9
 tcp_keepalives_idle                                    | 7200
 tcp_keepalives_interval                                | 75
 temp_buffers                                           | 1024
 temp_file_limit                                        | -1
 temp_tablespaces                                       | 
 TimeZone                                               | UTC
 timezone_abbreviations                                 | Default
 trace_recovery_messages                                | log
 track_activities                                       | on
 track_activity_query_size                              | 1024
 track_counts                                           | on
 track_functions                                        | none
 track_io_timing                                        | off
 transaction_isolation                                  | read committed
 transaction_read_only                                  | off
 transform_null_equals                                  | off
 unix_socket_directories                                | /tmp
 unix_socket_group                                      | 
 unix_socket_permissions                                | 0777
 update_process_title                                   | on
 vacuum_cost_delay                                      | 0
 vacuum_cost_limit                                      | 200
 vacuum_cost_page_dirty                                 | 20
 vacuum_cost_page_hit                                   | 1
 vacuum_cost_page_miss                                  | 10
 vacuum_freeze_min_age                                  | 50000000
 vacuum_freeze_table_age                                | 150000000
 vacuum_multixact_freeze_min_age                        | 5000000
 vacuum_multixact_freeze_table_age                      | 150000000
 wait_for_replication_threshold                         | 1024
 wal_block_size                                         | 32768
 wal_buffers                                            | 125
 wal_keep_segments                                      | 5
 wal_receiver_status_interval                           | 10
 wal_receiver_timeout                                   | 60000
 wal_segment_size                                       | 2048
 wal_sender_timeout                                     | 300000
 wal_writer_delay                                       | 200
 work_mem                                               | 32768
 writable_external_table_bufsize                        | 64
 xmlbinary                                              | base64
 xmloption                                              | content
(332 rows)

